candidate_id,rank,score,reasoning
CAND_0046064,1,53.7177,"8.9 years of professional experience. Currently works as senior nlp engineer at salesforce. Matches important JD skills including elasticsearch, opensearch, peft, pinecone, python. Experience falls within the desired range. Career history shows good alignment with the JD. Has experience in product-focused engineering environments. Shows strong GitHub activity. Currently marked as open to work. Short notice period supports faster availability. Some experience is outside the primary focus of the role. Overall, this profile is an excellent match for the position."
CAND_0018499,2,52.162,"7.2 years of professional experience. Currently works as senior machine learning engineer at zomato. Matches important JD skills including embeddings, milvus, pinecone, qlora, weaviate. Experience falls within the desired range. Career history shows good alignment with the JD. Has experience in product-focused engineering environments. Shows strong GitHub activity. Currently marked as open to work. Short notice period supports faster availability. Some experience is outside the primary focus of the role. Overall, this profile is an excellent match for the position."
CAND_0079387,3,51.8437,"6.9 years of professional experience. Currently works as ai engineer at microsoft. Matches important JD skills including lora, opensearch, python, qlora. Experience falls within the desired range. Career history demonstrates partial alignment with the JD. Has experience in product-focused engineering environments. Shows strong GitHub activity. Currently marked as open to work. Short notice period supports faster availability. Some experience is outside the primary focus of the role. Overall, this profile is an excellent match for the position."
CAND_0077337,4,51.1684,"7.0 years of professional experience. Currently works as staff machine learning engineer at paytm. Matches important JD skills including opensearch, pinecone, python, qdrant, qlora. Experience falls within the desired range. Career history shows good alignment with the JD. Shows strong GitHub activity. Currently marked as open to work. Some experience is outside the primary focus of the role. Overall, this profile is an excellent match for the position."
CAND_0053591,5,50.2422,"5.3 years of professional experience. Currently works as ai engineer at ola. Matches important JD skills including embeddings, milvus, opensearch, qdrant. Experience falls within the desired range. Career history shows good alignment with the JD. Has experience in product-focused engineering environments. Shows strong GitHub activity. Currently marked as open to work. Some experience is outside the primary focus of the role. Overall, this profile is an excellent match for the position."
CAND_0050454,6,50.0297,"6.8 years of professional experience. Currently works as ai engineer at rephrase.ai. Matches important JD skills including faiss, lora, qdrant, qlora. Experience falls within the desired range. Career history demonstrates partial alignment with the JD. Has experience in product-focused engineering environments. Currently marked as open to work. Short notice period supports faster availability. Some experience is outside the primary focus of the role. Overall, this profile is an excellent match for the position."
CAND_0027691,7,49.7733,"6.5 years of professional experience. Currently works as nlp engineer at haptik. Matches important JD skills including embeddings, lora, peft, python, qlora. Experience falls within the desired range. Career history demonstrates partial alignment with the JD. Has experience in product-focused engineering environments. Shows strong GitHub activity. Currently marked as open to work. Short notice period supports faster availability. Some experience is outside the primary focus of the role. Overall, this profile is an excellent match for the position."
CAND_0011162,8,49.6581,"5.8 years of professional experience. Currently works as recommendation systems engineer at upgrad. Matches important JD skills including embeddings, faiss, lora, milvus, opensearch. Experience falls within the desired range. Career history demonstrates partial alignment with the JD. Has experience in product-focused engineering environments. Currently marked as open to work. Some experience is outside the primary focus of the role. Overall, this profile is an excellent match for the position."
CAND_0011687,9,49.4106,"7.8 years of professional experience. Currently works as senior nlp engineer at niramai. Matches important JD skills including embeddings, faiss, opensearch, peft, weaviate. Experience falls within the desired range. Career history shows good alignment with the JD. Shows strong GitHub activity. Currently marked as open to work. Short notice period supports faster availability. Some experience is outside the primary focus of the role. Overall, this profile is an excellent match for the position."
CAND_0055905,10,49.245,"8.1 years of professional experience. Currently works as senior machine learning engineer at flipkart. Matches important JD skills including elasticsearch, embeddings, opensearch, python. Experience falls within the desired range. Career history shows good alignment with the JD. Has experience in product-focused engineering environments. Currently marked as open to work. Short notice period supports faster availability. Some experience is outside the primary focus of the role. Overall, this profile is an excellent match for the position."
CAND_0070398,11,49.2239,"7.2 years of professional experience. Currently works as machine learning engineer at genpact ai. Matches important JD skills including embeddings, faiss, lora, python. Experience falls within the desired range. Career history shows good alignment with the JD. Has experience in product-focused engineering environments. Shows strong GitHub activity. Currently marked as open to work. Some experience is outside the primary focus of the role. Overall, this profile is a strong match for the position."
CAND_0098846,12,49.0241,"7.6 years of professional experience. Currently works as ai engineer at upgrad. Matches important JD skills including peft, qdrant, qlora. Experience falls within the desired range. Career history shows good alignment with the JD. Has experience in product-focused engineering environments. Shows strong GitHub activity. Currently marked as open to work. Some experience is outside the primary focus of the role. Overall, this profile is a strong match for the position."
CAND_0028793,13,48.9752,"7.2 years of professional experience. Currently works as search engineer at google. Matches important JD skills including embeddings, lora, peft, qlora. Experience falls within the desired range. Career history demonstrates partial alignment with the JD. Has experience in product-focused engineering environments. Shows strong GitHub activity. Currently marked as open to work. Some experience is outside the primary focus of the role. Overall, this profile is a strong match for the position."
CAND_0083307,14,48.5817,"7.8 years of professional experience. Currently works as search engineer at cred. Matches important JD skills including embeddings, peft, pinecone, python, qlora. Experience falls within the desired range. Career history shows good alignment with the JD. Shows strong GitHub activity. Currently marked as open to work. Some experience is outside the primary focus of the role. Overall, this profile is a strong match for the position."
CAND_0009691,15,48.3496,"6.2 years of professional experience. Currently works as applied ml engineer at linkedin. Matches important JD skills including faiss, lora, pinecone, qdrant, qlora. Experience falls within the desired range. Career history demonstrates partial alignment with the JD. Has experience in product-focused engineering environments. Shows strong GitHub activity. Currently marked as open to work. Some experience is outside the primary focus of the role. Overall, this profile is a strong match for the position."
CAND_0009024,16,48.2225,"5.2 years of professional experience. Currently works as search engineer at google. Matches important JD skills including faiss, lora, opensearch, peft, qdrant. Experience falls within the desired range. Career history demonstrates partial alignment with the JD. Has experience in product-focused engineering environments. Currently marked as open to work. Short notice period supports faster availability. Some experience is outside the primary focus of the role. Overall, this profile is a strong match for the position."
CAND_0062247,17,48.0838,"7.3 years of professional experience. Currently works as ai engineer at google. Matches important JD skills including peft, pinecone, qdrant. Experience falls within the desired range. Career history shows good alignment with the JD. Has experience in product-focused engineering environments. Shows strong GitHub activity. Currently marked as open to work. Short notice period supports faster availability. Some experience is outside the primary focus of the role. Overall, this profile is a strong match for the position."
CAND_0090155,18,47.9678,"5.8 years of professional experience. Currently works as ml engineer at swiggy. Matches important JD skills including milvus, peft, pinecone, qdrant, qlora. Experience falls within the desired range. Career history demonstrates partial alignment with the JD. Has experience in product-focused engineering environments. Shows strong GitHub activity. Currently marked as open to work. Some experience is outside the primary focus of the role. Overall, this profile is a strong match for the position."
CAND_0006418,19,47.8253,"5.7 years of professional experience. Currently works as machine learning engineer at verloop.io. Matches important JD skills including elasticsearch, embeddings, opensearch, qdrant, weaviate. Experience falls within the desired range. Career history demonstrates partial alignment with the JD. Has experience in product-focused engineering environments. Shows strong GitHub activity. Currently marked as open to work. Some experience is outside the primary focus of the role. Overall, this profile is a strong match for the position."
CAND_0044222,20,47.8045,"7.7 years of professional experience. Currently works as ai engineer at policybazaar. Matches important JD skills including opensearch, qdrant, qlora, weaviate. Experience falls within the desired range. Career history shows good alignment with the JD. Currently marked as open to work. Some experience is outside the primary focus of the role. Overall, this profile is a strong match for the position."
CAND_0016163,21,47.532,"6.7 years of professional experience. Currently works as applied ml engineer at dream11. Matches important JD skills including embeddings, lora, pinecone, weaviate. Experience falls within the desired range. Career history demonstrates partial alignment with the JD. Has experience in product-focused engineering environments. Shows strong GitHub activity. Currently marked as open to work. Some experience is outside the primary focus of the role. Overall, this profile is a strong match for the position."
CAND_0094759,22,47.2298,"8.6 years of professional experience. Currently works as lead ai engineer at meta. Matches important JD skills including faiss, qdrant, weaviate. Experience falls within the desired range. Career history shows good alignment with the JD. Has experience in product-focused engineering environments. Shows strong GitHub activity. Short notice period supports faster availability. Some experience is outside the primary focus of the role. Overall, this profile is a strong match for the position."
CAND_0039383,23,47.1717,"7.1 years of professional experience. Currently works as applied ml engineer at meesho. Matches important JD skills including elasticsearch, faiss, lora, qlora. Experience falls within the desired range. Career history demonstrates partial alignment with the JD. Has experience in product-focused engineering environments. Shows strong GitHub activity. Currently marked as open to work. Some experience is outside the primary focus of the role. Overall, this profile is a strong match for the position."
CAND_0030031,24,47.0425,"5.7 years of professional experience. Currently works as ai engineer at microsoft. Matches important JD skills including lora, milvus, python, qlora. Experience falls within the desired range. Career history demonstrates partial alignment with the JD. Has experience in product-focused engineering environments. Short notice period supports faster availability. Some experience is outside the primary focus of the role. Overall, this profile is a strong match for the position."
CAND_0091909,25,47.0287,"6.9 years of professional experience. Currently works as machine learning engineer at rephrase.ai. Matches important JD skills including opensearch, pinecone, qdrant, qlora. Experience falls within the desired range. Career history demonstrates partial alignment with the JD. Has experience in product-focused engineering environments. Currently marked as open to work. Some experience is outside the primary focus of the role. Overall, this profile is a strong match for the position."
CAND_0027801,26,46.9094,"7.4 years of professional experience. Currently works as nlp engineer at inmobi. Matches important JD skills including faiss, milvus, opensearch, qlora. Experience falls within the desired range. Career history demonstrates partial alignment with the JD. Has experience in product-focused engineering environments. Shows strong GitHub activity. Currently marked as open to work. Some experience is outside the primary focus of the role. Overall, this profile is a strong match for the position."
CAND_0052682,27,46.7837,"6.6 years of professional experience. Currently works as nlp engineer at aganitha. Matches important JD skills including embeddings, faiss, python, qlora. Experience falls within the desired range. Career history demonstrates partial alignment with the JD. Shows strong GitHub activity. Currently marked as open to work. Short notice period supports faster availability. Some experience is outside the primary focus of the role. Overall, this profile is a strong match for the position."
CAND_0060054,28,46.7452,"6.4 years of professional experience. Currently works as ai engineer at mad street den. Matches important JD skills including elasticsearch, faiss, weaviate. Experience falls within the desired range. Career history demonstrates partial alignment with the JD. Has experience in product-focused engineering environments. Short notice period supports faster availability. Some experience is outside the primary focus of the role. Overall, this profile is a strong match for the position."
CAND_0020991,29,46.6829,"4.9 years of professional experience. Currently works as junior ml engineer at phonepe. Matches important JD skills including lora, opensearch, python, qlora, weaviate. Experience falls within the desired range. Career history demonstrates partial alignment with the JD. Has experience in product-focused engineering environments. Shows strong GitHub activity. Currently marked as open to work. Some experience is outside the primary focus of the role. Overall, this profile is a strong match for the position."
CAND_0052328,30,46.5921,"6.5 years of professional experience. Currently works as recommendation systems engineer at amazon. Matches important JD skills including lora, opensearch, python, qlora. Experience falls within the desired range. Career history demonstrates partial alignment with the JD. Has experience in product-focused engineering environments. Shows strong GitHub activity. Currently marked as open to work. Short notice period supports faster availability. Some experience is outside the primary focus of the role. Overall, this profile is a strong match for the position."
CAND_0039754,31,46.4702,"16.2 years of professional experience. Currently works as senior applied scientist at meta. Matches important JD skills including elasticsearch, opensearch, python, qdrant, weaviate. Experience is below the preferred range. Career history shows good alignment with the JD. Has experience in product-focused engineering environments. Shows strong GitHub activity. Currently marked as open to work. Short notice period supports faster availability. Some experience is outside the primary focus of the role. Overall, this profile is a good match for the position."
CAND_0052706,32,46.3428,"5.1 years of professional experience. Currently works as ai research engineer at swiggy. Matches important JD skills including lora, peft, pinecone, weaviate. Experience falls within the desired range. Career history demonstrates partial alignment with the JD. Has experience in product-focused engineering environments. Currently marked as open to work. Some experience is outside the primary focus of the role. Overall, this profile is a good match for the position."
CAND_0067866,33,46.1846,"6.4 years of professional experience. Currently works as senior software engineer (ml) at tech mahindra. Matches important JD skills including elasticsearch, embeddings, lora, peft, qdrant. Experience falls within the desired range. Career history shows good alignment with the JD. Currently marked as open to work. Overall, this profile is a good match for the position."
CAND_0026532,34,46.1668,"4.8 years of professional experience. Currently works as recommendation systems engineer at zomato. Matches important JD skills including embeddings, faiss, lora, milvus, peft. Experience falls within the desired range. Career history demonstrates partial alignment with the JD. Has experience in product-focused engineering environments. Currently marked as open to work. Some experience is outside the primary focus of the role. Overall, this profile is a good match for the position."
CAND_0066999,35,46.1272,"5.9 years of professional experience. Currently works as recommendation systems engineer at microsoft. Matches important JD skills including embeddings, faiss, opensearch, pinecone. Experience falls within the desired range. Career history demonstrates partial alignment with the JD. Has experience in product-focused engineering environments. Shows strong GitHub activity. Currently marked as open to work. Short notice period supports faster availability. Some experience is outside the primary focus of the role. Overall, this profile is a good match for the position."
CAND_0082086,36,46.0799,"6.0 years of professional experience. Currently works as senior software engineer (ml) at razorpay. Matches important JD skills including faiss, milvus, pinecone, qlora. Experience falls within the desired range. Career history demonstrates partial alignment with the JD. Has experience in product-focused engineering environments. Shows strong GitHub activity. Currently marked as open to work. Some experience is outside the primary focus of the role. Overall, this profile is a good match for the position."
CAND_0092278,37,46.0621,"6.8 years of professional experience. Currently works as senior nlp engineer at microsoft. Matches important JD skills including elasticsearch, milvus, peft, qlora. Experience falls within the desired range. Career history shows good alignment with the JD. Has experience in product-focused engineering environments. Some experience is outside the primary focus of the role. Overall, this profile is a good match for the position."
CAND_0086151,38,45.9929,"7.7 years of professional experience. Currently works as recommendation systems engineer at wysa. Matches important JD skills including elasticsearch, embeddings, lora, opensearch, peft. Experience falls within the desired range. Career history demonstrates partial alignment with the JD. Has experience in product-focused engineering environments. Shows strong GitHub activity. Currently marked as open to work. Some experience is outside the primary focus of the role. Overall, this profile is a good match for the position."
CAND_0040677,39,45.6379,"4.2 years of professional experience. Currently works as ai research engineer at swiggy. Matches important JD skills including elasticsearch, lora, python, qlora. Career history shows good alignment with the JD. Has experience in product-focused engineering environments. Currently marked as open to work. Some experience is outside the primary focus of the role. Overall, this profile is a good match for the position."
CAND_0050876,40,45.547,"6.0 years of professional experience. Currently works as applied ml engineer at freshworks. Matches important JD skills including faiss, opensearch, python, qdrant, qlora. Experience falls within the desired range. Career history demonstrates partial alignment with the JD. Shows strong GitHub activity. Currently marked as open to work. Some experience is outside the primary focus of the role. Overall, this profile is a good match for the position."
CAND_0061819,41,45.5405,"5.0 years of professional experience. Currently works as junior ml engineer at aganitha. Matches important JD skills including faiss, milvus, python, qdrant. Experience falls within the desired range. Career history demonstrates partial alignment with the JD. Has experience in product-focused engineering environments. Currently marked as open to work. Some experience is outside the primary focus of the role. Overall, this profile is a good match for the position."
CAND_0098780,42,45.5378,"5.9 years of professional experience. Currently works as ai research engineer at zomato. Matches important JD skills including milvus, peft, pinecone, weaviate. Experience falls within the desired range. Career history demonstrates partial alignment with the JD. Has experience in product-focused engineering environments. Currently marked as open to work. Some experience is outside the primary focus of the role. Overall, this profile is a good match for the position."
CAND_0096142,43,45.4439,"5.0 years of professional experience. Currently works as applied ml engineer at upgrad. Matches important JD skills including lora, pinecone, python, weaviate. Experience falls within the desired range. Career history demonstrates partial alignment with the JD. Shows strong GitHub activity. Currently marked as open to work. Some experience is outside the primary focus of the role. Overall, this profile is a good match for the position."
CAND_0010257,44,45.41,"6.5 years of professional experience. Currently works as senior data scientist at google. Matches important JD skills including milvus, opensearch, python, qdrant. Experience falls within the desired range. Career history demonstrates partial alignment with the JD. Has experience in product-focused engineering environments. Currently marked as open to work. Some experience is outside the primary focus of the role. Overall, this profile is a good match for the position."
CAND_0060072,45,45.1846,"5.7 years of professional experience. Currently works as staff machine learning engineer at amazon. Matches important JD skills including embeddings, milvus, pinecone, qdrant. Experience falls within the desired range. Career history shows good alignment with the JD. Has experience in product-focused engineering environments. Shows strong GitHub activity. Some experience is outside the primary focus of the role. Overall, this profile is a good match for the position."
CAND_0037566,46,45.1581,"6.9 years of professional experience. Currently works as machine learning engineer at linkedin. Matches important JD skills including elasticsearch, lora, pinecone, qlora. Experience falls within the desired range. Career history demonstrates partial alignment with the JD. Shows strong GitHub activity. Currently marked as open to work. Short notice period supports faster availability. Some experience is outside the primary focus of the role. Overall, this profile is a good match for the position."
CAND_0068811,47,45.0541,"8.0 years of professional experience. Currently works as applied ml engineer at freshworks. Matches important JD skills including embeddings, opensearch, peft, pinecone, qdrant. Experience falls within the desired range. Career history demonstrates partial alignment with the JD. Currently marked as open to work. Short notice period supports faster availability. Some experience is outside the primary focus of the role. Overall, this profile is a good match for the position."
CAND_0018549,48,45.0199,"6.8 years of professional experience. Currently works as recommendation systems engineer at uber. Matches important JD skills including elasticsearch, milvus, opensearch, qdrant, weaviate. Experience falls within the desired range. Career history demonstrates partial alignment with the JD. Has experience in product-focused engineering environments. Shows strong GitHub activity. Currently marked as open to work. Some experience is outside the primary focus of the role. Overall, this profile is a good match for the position."
